$100-a-plate dinner	tuluõhtu, heategevuslik bankett
foredoom	ette nurjumisele määrama
forefather	esiisa
Forefathers' Day	Ameerika asustajate päev (21. dets)
forefeet	esijalad
forefield	eesväljak
forefinger	nimetissõrm
forefoot	esijalg (neljajalgse looma)
forefront	esirind, esiplaan
foregame	eelmäng
foregather	kogunema, kohtama
forego	eelnema, loobuma
foregoing	eelnev, eelmainitud
foregone	ammumöödunud, ammune
foregone conclusion	ette teada asi, ette ära otsustatud tulemus
foreground	esiplaan ; esiplaanile tõstma
foreground processing	esiplaanitöötlus
forehand	eestkäelöök, esiots ; eestkäe-
forehanded	eestkäe-, tuleviku jaoks varustunud, heal järjel
forehand shot	eestkäelöök
forehand stroke	eestkäelöök
forehead	laup, otsaesine, otsmikuluu
foreign	võõras, välismaine, välis-, võõr-
foreign accent	võõrapärane aktsent
foreign affairs	välispoliitika, välisasjad
foreign aid	välisabi
foreign bill	rahvusvaheline maksekorraldus
foreign body	võõrkeha
foreign-born	välismaal sündinud
foreign correspondent	väliskorrespondent
foreign currency	välisvaluuta
foreigner	välismaalane, võõras, tundmatu
foreign exchange	välisvaluuta
foreign intruder	võõrsissetungija
foreign intrusion	võõrsissetung
foreign language	võõrkeel
foreign-language study	võõrkeeleõpingud
Foreign Legion	Võõrleegion
foreign letter	võõrtäht
foreign loan	välislaen
foreign-made	import-
foreign minister	välisminister
foreign mission	välisesindus
foreign name	võõrnimi
foreignness	võõrapärasus
foreign office	välisministeerium
foreign particle	võõrosake
foreign policy	välispoliitika
foreign secretary	(Br) välisminister
foreign service	välisteenistus
foreign state	välisriik
foreign suffix	võõrliide
foreign trade	väliskaubandus
foreign word	võõrsõna
foreknow	ette teadma
foreknowledge	eelteadmine, etteteadmine
forelady	(vande)kohtu eesistuja
foreland	kõrgendik, (ranniku) pangapealne, neem
foreleg	esijalg (neljajalgse looma)
forelimb	esijäse
forelock	tukk, (hobuse) otsmikututt
foreman	eestööline, töödejuhataja, (vande)kohtu eesistuja
foremast	fokkmast
forementioned	eelpoolmainitud
foremilk	< colostrum
foremost	eesmine, eespoolseim, tähtsaim ; eelkõige
foremother	esiema
forename	eesnimi
forenoon	hommikupoolik
forensic	kohtu-, kohtulik
forensic medicine	kohtumeditsiin
forensics	kriminalistika
foreordain	ette määrama (eriti religioonis)
foreordained	ettemääratud
foreordination	ettemääratus
forepart	esiosa
forepaw	esikäpp
forepayment	ettemaks
forepeak	vöörpiik
foreplay	eelmäng
forerunner	eelkäija, kuulutaja
foresail	fokkpuri
foresee	ette nägema, ette kujutama
foreseeable	nähtav, aimatav
foreseeable future	lähitulevik
foresense	ette aimama
foreshadow	aimata laskma, ette kuulutama
foreshadowing	prohvetlik ; ettekuulutus
foreshock	(maavärina) eeltõuge
foreshore	joom, rand (tõusu ja mõõna vaheline)
foreshorten	lühendama, kokku suruma
foreshow	ette kuulutama
foresight	ettenägelikkus
foresighted	ettenägelik
foresightedly	ettenägelikult
foresightedness	ettenägelikkus
foresightful	ettenägelik
foresinger	eeslaulja
foreskin	eesnahk
forest	mets ; metsa istutama
forestage	ramp, eeslava (kardinaesine osa)
forestall	ennetama, ära hoidma
forestaysail	taakfokk
forest cover	mets, metsakate
forest dweller	metsaelanik
forested	metsane
forester	metsur, metsamees, (van) metsaelanik
forest fire	metsatulekahju
forest floor	metsaalune
forest god	metsajumal, faun
forest land	metsamaa
forest licence	raieluba
forest management	metsandus
forest officer	metsnik, metsaülem
forest preserve	metsakaitseala
forest ranger	metsnik
forestry	metsandus
forest school	puukool
forest sheriff	metsavaht
forest warden	metsavaht
foreswear	lahti ütlema
foretaste	eelmaik
foreteeth	esihambad
foretell	ette kuulutama
foreteller	ennustaja
foretelling	ennustus, ettekuulutus
forethought	läbimõeldus, ettekavatsetus
forethoughtful	läbimõeldud
forethoughtless	läbimõtlematu
foretold	< foretell
forever	igavesti, alati, igaveseks, alatiseks ; igavik
for ever	igavesti
forever and a day	sada aastat, terve igavik ja veel veidi
forever and aye	nüüd ikka ja igavesti
for ever and ever	igavesti, igavesest ajast igavesti
forevermore	nüüd ikka ja igavesti
forevision	eelaimdus
forewarn	ette hoiatama
forewarning	hoiatus
forewarningly	hoiatavalt
forewent	eelnes, oli eelkäijaks
foreword	eessõna
for example	näiteks
foreyard	eesõu, fokkraa
for fair	üleni, absoluutselt
for fear of	kartes, sest kardab
for fear that	kartes et
forfeit	leppehüvitis, pant, trahv ; kaotatud ; ilma jääma
forfeiture	kaotus
forfend	hoidma, kaitsma, säilitama, (van) vältima, keelama
Forficula	kõrvahark
for free	tasuta
for fun	lõbu pärast, ajaviiteks
forgather	kogunema, kokku saama
forge	ääs ; sepistama, võltsima
forged	võltsitud, sepistatud
forger	võltsija, sepp
forgery	võltsing, võltsimine
forget	unustama, meelest minema
forget about it	unustame selle, unusta ära
forgetful	hajameelne
forgetfully	hajameelselt
forgetfulness	hajameelsus
forget it	unusta ära, pühi suu puhtaks
forget-me-not	meelespea
forgettable	lihtsalt ununev
forging	sepistamine, võltsimine
forgivable	andestatav
forgivably	andeksantavalt, vabandatavalt
forgive	andeks andma, andestama, (võlga) unustama
forgiveable	andestatav
forgive and forget	andestama ja asja lõpetatuks pidama
forgiven	andeks antud
forgiveness	andestus, andeksandmine, suuremeelsus
forgiving	andestav
forgivingly	andestavalt
forgo	loobuma, minetama, (ilma) läbi ajama, vahele jätma
for God's sake	Jumala pärast
forgone	< forgo
for good	pikaks ajaks, lõplikult
for good measure	kauba peale
for goodness sake	taeva päralt
forgotten	unustatud, meelest läinud
for heaven's sake	taeva päralt
for here, or to go	kas siin või kaasa
for hire	välja üürida
for instance	näiteks
forint	forint
fork	kahvel, hang, haru, hark ; harunema, hanguma
forked	kaheharuline, mitmeharuline, harunev
forked tongue	kaheharuline keel
for keeps	kogu summa peale, võitja saab kõik
forkful	kahvlitäis
forking	harunemine
forklift	kahveltõstuk
fork-lift truck	tõstekäru, harklaadur, laadurauto
fork out	(raha) välja laduma
fork-tongued	kaheharulise keelega
for lack of evidence	süütõendite puudumisel
for lack of something better	parema puudumisel
for life	elu eest, eluks ajaks
forlorn	hüljatud, kaotusvalus, haletsusväärne, meeleheitel
forlorn hope	tühi lootus, lootusetu ettevõtmine
forlornly	haledalt
forlornness	mahajäetuse tunne
forlorn of	ilma jäetud
for love or money	(mitte) mingi hinna eest
form	plank, kuju, vorm, klass ; moodustama, kuju võtma
formal	formaalne, ametlik
formal agreement	ametlik kokkulepe
formal cause	formaalne põhjus
formal clothes	pidulik riietus
formaldehyde	formaldehüüd
formal dress	pidulik riietus
formalin	formaliin
form a line	rivistuma, järjekorda võtma
formalisation	formaliseerimine, vormikohastamine
formalised	formaliseeritud, formaalne
formalism	formalism
formalist	formalist
formalistic	formalistlik
formalities	formaalsused
formality	formaalsus
formalize	formaliseerima
formalized	formaliseeritud, formaalne
formal language	formaalne keel
formal logic	formaalloogika
formally	ametlikult, vormiliselt
formalness	range vormikohasus
formal speech	ametlik kõne
formal style	ametlik stiil
formal universal	vormiuniversaal
formal visit	ametlik visiit
form an opinion	arvamust kujundama
formant	formant
for many a long day	pikaks-pikaks ajaks
form a part of	osa moodustama
format	formaat, vorming ; vormindama, formateerima
formation	moodustis, formatsioon, moodustumine, rivi
formative	vormiv, kujundav ; formatiiv
formatted	vormindatud
form a whole	tervikut moodustama
formed	väljakujunenud, kuju saanud
former	endine, esimene (kahest)
formerly	vanasti, varem
former times	endisajad
form feed	lehevahetus
formic	sipelg-
Formica	kuklane, sipelgas, laminaat (materjal)
formic acid	sipelghape
formic aldehyde	formaldehüüd
formicant	vaevutuntav
formicary	sipelgapesa
formicate	(millestki liikuvast) kihisema, saginat täis olema
formication	sipelgatunne (hallutsinatsioon), kihelus
formidability	tõsine raskus
formidable	hirmuäratav, muljetavaldav
formidably	kohutavalt, suuresti
formless	vormitu
formlessly	vormitult
form letter	vormkiri
form of address	pöördumisvorm
form of analogy	analoogiavorm
form of government	valitsusvorm
for money	raha eest
form-only	puhtvormiline
form stem	vormitüvi
formula	valem, retsept, imikutoit
formulaic sentence	vormel, vormellause
formularize	valemina väljendama
formulate	sõnastama, formuleerima
formulated	valjakujunenud, loogiline
formulation	sõnastus
form word	mittetäistähenduslik sõna
Fornax	Ahi (tähtkuju)
fornicate	hoorama
fornication	hooramine, abielurikkumine
fornicator	abielurikkuja
fornicatress	abielurikkuja
for one	näiteks, muuhulgas
for one thing	muuhulgas
forrad	< forward
forrard	< forward
forrarder	edasi
for real	päriselt ; tõsi
forsake	hülgama, maha jätma, loobuma
forsaken	mahajäetud
forsaking	loobumine, hülgamine
for sale	müügiks, müüa
for short	lihtsalt, lühidalt
for show	kunstlik, moepärast
for simplicity	lihtsuse huvides
for some reason	miskipärast
forsooth	kas tõesti, tõepoolest, ei või olla
for sport	oma lõbuks, huvi pärast
for starters	sissejuhatuseks, kõigepealt
forsterite	forsteriit
for sure	kindla peale ; kindel
forswear	lahti ütlema (er tunnistusest)
forsythia	forsüütia
fort	kindlustus, fort ; kindlusesse kogunema
Fort	Fort
forte	forte (valjusti) ; tugev külg (ka mõõgatera)
fortemente	fortemente (tugevalt ja selgelt)
fortepiano	fortepiano, klaver
forth	edasi, ette
for that	selle eest
for that matter	mis sellesse puutub siis, selles suhtes
for that reason	seetõttu
forthcoming	eelseisev, kättesaadav, vabalt suhtlev
for the asking	nõudmisel, soovi korral
for the benefit of	millest said osa
for the best	hüvanguks, kõige paremal eesmärgil
for the better	paremuse poole
for the first time	esimest korda, esmakordselt
for the fun of it	lõbu pärast
for the heck of it	lõbu pärast
for the hell of it	lõbu pärast
for the moment	praeguseks, hetkeks
for the most part	enamjaolt
for the nonce	hetkel, praeguseks
for the post of	ametikohale
for the record	ametlikult
for the sake of	(kellegi) nimel
for the taking	(kellelgi) käeulatuses, käega katsuda
for the time being	esialgu, praegu, ajutiselt
for this reason	sel põhjusel
forthright	otsekohene ; sirgjooneliselt
forthrightly	otsekoheselt
forthrightness	sirgjoonelisus
forthwith	otsekohe, jalamaid
forties	neljakümnendad
fortieth	neljakümnes, neljakümnendik
fortification	kindlustus, kaitserajatis
fortified	kindlustatud, tugevdatud, kangestatud
fortified wine	kangestatud vein
fortify	kindlustama, tugevdama, toitaineid lisama, rikastama
fortifying	tugevdav
fortissimo	fortissimo (väga valjusti)
fortitude	meelekindlus
fortnight	kaks nädalat (< fourteen nights)
fortnightly	kahe nädala tagant toimuv
fortress	kindlus
fortuitous	juhuslik, õnnelik, soodus
fortuitously	õnnekombel, juhtumisi
fortuitousness	vedamine, soodsus (juhuse läbi)
fortuity	õnnelik juhus, vedamine
Fortuna	Fortuna
fortunate	õnnelik
fortunately	õnneks
fortune	õnn, vedamine, varandus
fortune hunter	õnnekütt (er rikast abikaasat otsiv)
Fortunella	kumkvaat, kinkanipuu
fortune's favor	saatuse soosing
fortuneteller	ennustaja
fortune-teller	ennustaja
fortunetelling	tuleviku ennustamine
fortune-telling	tuleviku ennustamine
fort up	kindluse seinte taha kogunema
for two	kahele
forty	nelikümmend
forty-eight	nelikümmend kaheksa
forty-eighth	neljakümne kaheksas
forty-fifth	neljakümne viies
forty-first	neljakümne esimene
forty-five	nelikümmend viis, .45-kalliibriline (püstol)
forty-four	nelikümmend neli
forty-fourth	neljakümne neljas
forty-nine	nelikümmend üheksa
forty-niner	(1849. a) California kullapalavikus osalenu
forty-ninth	neljakümne üheksas
forty-one	nelikümmend üks
forty-second	neljakümne teine
forty-seven	nelikümmend seitse
forty-seventh	neljakümne seitsmes
forty-six	nelikümmend kuus
forty-sixth	neljakümne kuues
Forty Thieves, The	nelikümmend röövlit
forty-third	neljakümne kolmas
forty-three	nelikümmend kolm
forty-two	nelikümmend kaks
forty winks	tukastus (er mujal kui voodis)
forty-year	neljakümneaastane
forum	foorum
forward	edasi suunama, edastama ; edasi, esi- ; ründaja
forwarding	edasi suunamine, edenemine
forward-looking	edumeelne
forward motion	edenemine, edasiliikumine
forwardness	häbematus
forward pass	sööt ette
forwards	edasi
forwent	eelnes, loobus
for whatever reason	mistahes põhjusel
for what reason	mistõttu
for which reason	milletõttu
For Whom the Bell Tolls	Kellele lüüakse hingekella
forwhy	sestet ; mispärast
for your ears only	ainult sulle
for your information only	ainult teadmiseks
for your life	elu eest
for your money	(kellegi) arvates, oleks minu teha
fossa	lohk
fosse	kindlusekraav
fossick	tuhlama, sorima, sonkima, kulda jahtima
fossick about	sorima, ringi nuuskima
fossil	kivistis, fossiil ; fossiilne
fossil footprint	kivistunud jalajälg
fossil fuel	fossiilkütus (põlevkivi, kivisüsi, nafta vms)
fossiliferous	kivistisi sisaldav
fossilist	kivististe spetsialist
fossilization	kivistumine
fossilize	kivistuma, ajast maha jääma
fossilized	kivistunud, iganenud
fossorial	kaevamiseks kohandunud (jäsemed)
foster	üles kasvatama, edendama, hellitama ; kasu-
foster a belief	endamisi uskuma
fosterage	üleskasvatamine, toetamine
foster an idea	mõtet peas veeretama
foster brother	kasuvend
foster child	kasulaps
foster daughter	kasutütar
foster-family	kasuperekond
foster father	kasuisa
foster-father	kasuisa
foster home	kasupere
fostering	üleskasvatamine, toetus
foster in the mind	mõtteis hellitama
foster mother	kasuema
foster-parent	kasuvanem
foster parent	kasuvanem
foster sister	kasuõde
foster son	kasupoeg
Foucault pendulum	Foucault' pendel
foudroyant	jahmatav
fougasse	fugass
fought	< fight
foul	viga (mängus) ; ebaaus, vastik, ropp ; reostama
foulard	fulaar
foul breath	halb hingeõhk
fouled	määritud, solgitud
foul line	vabaviskejook, väljaku otsajoon
foully	alatult
foulmart	tõhk
foul-mouthed	ropu suuga
foulness	räpasus, rikutus
foul odor	hais
foul out	(korvpallis) viie veaga välja minema
foul play	alatu käitumine, sohk, kuritöö
foul shot	karistuslöök
foul-smelling	halvasti lõhnav, haisev
foul-spoken	ropu suuga
foul-tasting	vastiku maitsega
foul up	untsu keerama
foul-up	vussiajamine
foul weather	koerailm
foul-weather suit	tormijakk
foumart	tõhk
found	rajama ; leitud ; toit ja peavari
foundation	sihtasutus, alus, asutamine, asum, kärjeraam
foundation cream	aluskreem
foundation garment	alusriided
foundationless	alusetu, vundamendita
foundations	vundament, alus
foundation stone	nurgakivi
founded	asutatud, rajatud, põhjendatud
founder	asutaja, rajaja, valaja ; komistama, põhja vajuma
foundering	(laeva) põhjaminek
founders	asutajad
founding	rajamine
founding father	rajaja (Am, esimeste presidentide ja asunike kohta)
foundling	leidlaps, orb
foundling hospital	lastekodu
found on	rajama, põhinema
foundress	rajaja
foundry	valukoda
found wanting	leitud puudulik olevat
fount	šrift, allikas, torustik
fountain	purskkaev, allikas
fountainhead	läte, (ülek) allikas
fountain of youth	nooruse allikas
fountain pen	täitesulepea
four-	nelja-
four	neli
four by one hundred	neli korda sada (teatejooks)
fourchette	(< pr) kahvel, vahetult suurem ja väiksem kaart
four-color	neljavärvi-
four-color problem	nelja värvi probleem (matemaatikas)
four-dimensional	neljamõõtmeline
four-dimensional geometry	neljamõõtmeline geomeetria
four-dimensional space	neljamõõtmeline ruum
four-dimensioned	neljamõõtmeline
four flush	bluff
fourflusher	bluffija
fourfold	neljakordne ; neli korda
four-footed	neljajalgne
four-four time	neli neljandikku taktimõõdus
four-handed	neljale käele (nt klaveripala)
Four Horsemen	neli ratsanikku (ilmutusraamatu õnnetused)
four humours	neli huumorit (kehavedelikud)
four hundred	nelisada
Four Hundred	tipp-nelisada, eliit
Fourierism	furjerism (utopistliku sotsialismi teooria)
four-in-hand	neljahobuse- ; lips
four-in-hand coach	neljahobusevanker
four-in-hand tie	lips
four-leaf clover	neljaleheline ristikhein
four-legged	neljajalgne
four-letter	neljatäheline
four-letter word	roppus (vrd shit, fuck, damn etc)
four-lined	neljarealine
four-masted	neljamastiline
four-minute man	nelja minuti mees (jooksnud miili alla 4 minuti)
Four Noble Truths	neli õilsat tõde (budismi keskne õpetus)
four-oared	neljaaeruline
four o'clock	kell neli
four-part	neljaosaline
fourpence	neljapennine
fourpenny	neljapennine (4p maksev), pooleteisttolline (nael)
four-ply	neljakihiline, neljakordne
four-poster	sammastega voodi, baldahhiinvoodi
fourscore	kaheksakümmend
four-seater	neljaistmeline auto
four-sided	nelja küljega
foursome	nelik, paarismäng
four-spot	neli (kaart, täringu külg, doominokivi vms)
foursquare	veendunud, järsk ; järsult, kompromissitult ; ruut
fourteen	neliteist
fourteenth	neljateistkümnes
fourth	neljas ; neljandik
fourth dimension	neljas mõõde
fourth estate	neljas võim (ajakirjandus; 1.aadel 2.kirik 3.rahvas)
fourthly	neljandaks
Fourth of July	neljas juuli (Am)
fourth part	neljandik, veerand
fourth wall	neljas sein (tegelaste ja lugeja vahel)
fourth-year	neljanda aasta, koolilõpu-
four-wheel drive	neljarattavedu
four-year	nelja-aastane
four-year-old	nelja-aastane
fowl	linnuliha, kodulind ; linnujahti pidama
fowler	linnukütt
fowling piece	haavlipüss
fowl run	linnuaedik
fox	rebane ; haneks tõmbama, segadusse ajama
foxberries	pohlad
foxberry	pohl (Vaccinium vitis-idaea)
fox brush	rebasesaba
foxed	pruunilaiguline (er raamat), luitunud, alt veetud
foxfire	helendus, luminestseeriv seenestik, virvatuli
foxglove	sõrmkübar (taim, Digitalis)
foxhole	rebaseurg
foxhound	rebasekoer
fox hunt	rebasejaht
fox hunter	rebasekütt
foxhunting	rebasejaht
fox hunting	rebasejaht
foxily	kavalalt
foxiness	kavalus
foxing	luitumine, pruuniks tõmbumine
fox snake	rebasnastik (Elaphe vulpina)
fox spirit	libarebane
foxtail	rebasesaba (Alopecurus)
foxtail grass	rebasesaba (Alopecurus)
fox-terrier	foksterjer
fox terrier	foksterjer
foxtrot	fokstrott ; fokstrotti tantsima
fox trot	fokstrott
fox-trot	fokstrotti tantsima ; fokstrott
foxy	kaval, salalik, punakaspruun, moodne, luitunud
foyer	fuajee
frabjous	suurepärane
fracas	mürgel, lärmakas tüli
fractal	fraktaal
fraction	murdosa, murd
fractional	murdosaline, tühine
fractionally	marginaalselt, imevähe
fractionate	koostisosadeks jagama
fractious	allumatu, ebausaldatav, tõrges, pahur
fractiously	tõrksalt, vastu punnivalt
fractiousness	allumatus, jonnakus
fracture	mõra, luumurd, murdepind ; mõrastama, murdma
fractured	mõranenud, murdunud
frag	kildgranaat
Fragaria	maasikas
fragile	habras, õrn
fragile health	õrn tervis, nõrk tervis
fragileness	haprus
fragility	haprus
fragment	fragment, kild, katkend ; kildudeks purunema
fragmental	katkendlik
fragmentary	katkendlik, fragmentaarne, kildudest koosnev
fragmentation	kild-
fragmentation bomb	kildpomm
fragmented	killustunud, fragmenteerunud
fragmentize	killustama, tükkideks lööma
fragrance	aroom, hõng, lõhnaaine
fragrant	aromaatne, hästi lõhnav
frail	nõder, õrn, nõrk ; kuivatatud puuviljade korv
frailness	nõtrus, haprus, nõrkus
frailty	nõrkus
fraise	puhvkrae, rõhtteivastara
frame	raam, kaader, keha ; raamima, süüdlaseks lavastama
frame bridge	raamsild
framed	raamitud
frame of mind	meeleolu
frame of reference	raamistik (koordinaatide), kondikava (seaduse vm)
framer	raamija, kondikava kirjutaja
frame space	kaaresamm (laeva, paadi)
frame up	kokku sobitama
frame-up	valesüüdistus
frame wall	sõrestiksein
framework	raamistik, kandesõrestik, karkass
framing	raamimine, aluskava koostamine, karkass
franc	frank (rahaühik)
franc-archer	täpsuskütt
France	Prantsusmaa
Frances	Frances
franchise	ainumüügiõigus, edasimüüja, valimisõigus
franchisee	ainumüüja, volitatud edasimüüja
franchiser	frantsiisiandja
franchium	frantsium (Fr)
Francis	Francis
Franciscan	frantsiskaani ; frantsiskaan, frantsiskaanlane
Franciscanism	frantsiskaanlus
Francis of Assisi	Assisi Franciscus
francium	frantsium
Franco	Franco
Franco-	franko-, prantsuse-
Francois	François
francolin	frankoliin (kana)
Franconia	Frangimaa
Francophil	frankofiil
Francophile	frankofiil
Francophobe	frankofoob
Francophone	frankofoon (prantsuse keele kõneleja)
franc-tireur	snaiper
frangible	purunev, habras
frank	otsekohene, aus, siiras ; frankeerima ; suitsuviiner
Frank	frank (muinasgermaan), Frank (= Franklin)
Frankenfood	Frankentoit, geneetiliselt muundatud toit
Frankenstein	Frankenstein
Frankfort	Frankfort (Kentucky pealinn), Frankfurt
Frankfort on the Oder	Frankfurt Oderi ääres
Frankfurt	Frankfurt
frankfurter	viiner, suitsuviiner
frankincense	viiruk
franking	frankeerimine
Frankish	Frangi
franklin	franklin (Br, alamast soost maaomanik 14-15 saj)
Franklin	Franklin
frankly	ausalt, otsekoheselt, avameelselt
frankness	ausus, otsekohesus
frankpledge	kümmepere (jur, igaüks vastutas teiste tegude eest)
frantic	palavikuline, metsik, pöörane
frantically	pööraselt, palavikuliselt
Franz Josef	Franz Joseph
Franz Josef Land	Franz Josephi maa
frap	(köit, nööri) pingutama, kinni siduma
frappe	jääkokteil
Frasera	sannikas (Swertia)
frat	(mees)üliõpilasühing, korporatsioon
Fratercula	lunn (lind)
fraternal	vennalik, vennaskonna
fraternally	vennalikult
fraternisation	vennastumine, salliv suhtumine (er vaenlasesse)
fraternity	(mees)üliõpilasühing, korporatsioon, vennaskond
fraternization	vennastumine, salliv suhtumine (er vaenlasesse)
fraternize	vennalikult läbi saama
fratricide	vennatapp, vennatapja
Frau	Frau, proua
fraud	pettus, petis
fraud in fact	teadlik pettus
fraud in law	tahtmatu pettus
fraud in the factum	tegelikku eesmärki varjav pettus
fraud in the inducement	pettus teole ahvatlemisega
fraudless	siiras
fraudulence	kelmus, pettus
fraudulent	petturlik
fraudulently	pettuse teel, valskusega, ebaausalt
fraught	täidetud, laetud, täis, hädine
fraught with danger	hädaohtlik
fraught with doom	hukatusse viiv
fraught with significance	tähendusrikas
Fraxinus	saar(epuu)
fray	mürts, kisma ; viledaks hõõruma, narmastama
frayed	narmastunud, läbi kulunud, narmendav
frayed nerves	läbi kulunud närvid
frazzle	kurnatus ; läbi kulutama
freak	friik, kiiksuga, ebard ; lolliks minema
freakish	jabur, veider, ebardlik, tujukas
freakishly	veidralt, ette ennustamatult
freakishness	veidrus, ebardlikkus
freak of nature	looduse nurisünnitus, värdjas
freakout	hallutsinatsioon
freak out	peast segi minema
freak show	värdjate näitus
freaky	kummastav, kõhedust tekitav
freckle	tedretähn ; tedretähniliseks minema
freckled	tedretähniline
freckly	tedretähniline
Fred	Fred (= Alfred, Frederick)
Frederick	Friedrich, Frederick
Frederick Barbarossa	Friedrich I
Frederick the Great	Friedrich II
free	vaba, tasuta, sundimatu ; vabastama ; vabalt
-free	-vaba
free admission	vaba sissepääs
free agent	vaba tegutseja, lepinguga sidumata sportlane
free and easy	sundimatu
free as a bird	vaba kui lind
free-associate	vabalt mõtteseoseid looma
free association	vaba assotsiatsioon
free as the wind	vaba kui tuul
free-base	kokaiinisuitsu sisse hingama
freebie	tasuta asi
freeboard	vabaparras
freebooter	rüüstaja, marodöör, mereröövel
freeborn	vabalt sündinu
free choice	vaba valik
freed	vabaks lastud, vabastatud
free delivery	tasuta kohaletoimetus
freedman	vabakslastud ori
freedom	vabadus, priius
freedom fighter	vabadusvõitleja
freedom of establishment	õigus vabalt ettevõtlusega tegelda
freedom of religion	usuvabadus
freedom of speech	sõnavabadus
freedom of speech and expressi	sõna- ja väljendusvabadus
freedom of the press	trükivabadus
freedom of the seas	rahvusvaheliste vete õigus
freedom of thought	mõttevabadus
freedom to bear arms	relva kandmise õigus
freedwoman	vabakslastud ori
free economy	vabamajandus
free electron	vaba elektron
free enterprise	vaba ettevõtlus
free-enterprise	vabamajandus-
free-enterprise economy	vabamajandus
free fall	vaba langemine
free flight	vabalend
free-for-all	reegliteta rusikavõitlus
free form	vaba vorm
free from	vaba
freehand	vabakäe-
free hand	vabad käed (midagi teha)
freehand drawing	vabakäejoonistus
freehanded	helde
free-handed	helde
freehandedly	heldelt
freehearted	helde
freeheartedness	heldus, lahkus
freehold	eluaegne maaomand, lihtpärandatav maa
freeholder	eluaegne maaomanik
freeing	vabastav ; vabastamine, vabaks laskmine
freeing port	tormiluuk
free kick	karistuslöök
freelance	vabakutseline, palga- (sõdur)
free-lance	vabakutseline ; vabakutselisena töötama
freelancer	vabakutseline
free-lance worker	vabakutseline töötaja
free-lance writer	vabakutseline kirjanik
free list	maksuvabade kaupade nimekiri
free-liver	elunautleja
free-living	elunautimine ; mitteparasiit-
freeload	teiste kulul elama
freeloader	teiste kulul elaja, muiduleivasööja
free love	vabaarmastus
free lover	vabaarmastuse pooldaja
freely	vabalt, vabal tahtel
freeman	vabamees
freemason	vabamüürlane
Freemason	vabamüürlane
freemasonry	vabamüürlus
Freemasonry	vabamüürlus
free meaning	vaba tähendus
free-minded	eelarvamusteta
free movement	vaba liikumine
free of	vaba, -ta
free of charge	tasuta
free on board	frankosihtsadam
free pardon	armuandmine
free pass	priipääse
free play	vaba voli
free port	vabasadam
free radical	vaba radikaal (vaba elektronsidemega osake)
free-range	vabalt karjatatav, vabapidamisega (nt kana)
free rein	vaba voli
free ride	priiküüt
freesia	freesia
free-soil	keelustatud orjapidamisega
free speech	sõnavabadus, kõnevabadus
free spirit	vaba hing (inimese kohta)
free-spoken	otse välja öeldud
free-spokenly	otsekoheselt
free-spokenness	otsekohesus
freestanding	eraldi asetsev
Free State	Maryland
freestone	lahtise kiviga vili (nt virsik)
freestyle	vabastiil, vigur-
freestyle skiing	vigursuusatamine
free-swimming	vabaujumine
freethinker	vabamõtleja
freethinking	vabamõtlejalik, dogmasid eitav
free thought	teoloogiline ratsionalism
free throw	vabavise
free throw line	vabaviskejoon
free ticket	kontramark, priipääse
free time	vaba aeg
free-to-air	kodeerimata (telekanal)
free trade	vabakaubandus
free trade area	vabakaubanduspiirkond
free trader	vabakaubanduse pooldaja
free translation	vaba tõlge
free variable	vaba muutuja
free verse	vabavärss
freeware	vabavara
freeway	maantee, kiirtee
freewheel	vabakäigusidur ; vabakäiguga sõitma, muretult elama
freewheeler	tujude järgi elaja
freewheeling	piiranguteta, hooletu
freewill	vabatahtlik
free will	vaba tahe, tahtevabadus
freewoman	vabanaine (mitte ori)
Free World	vaba maailm, antikommunistlik blokk
freeze	külmutama, tarduma, jäätuma ; pakane, külmutamine
freezed	külmutatud
freeze-dry	külmkuivatama
freeze off	külmalt ära põlgama
freeze out	jäätuma
freeze over	jäätuma, jääga kattuma
freezer	külmik, külmuti, jäätisemasin
freezer locker	sügavkülm
freeze solid	kõvaks külmuma
freeze the blood	verd tarretama panema
freeze to death	surnuks külmuma
freeze up	kinni külmuma
freezing	jäine ; külmutamine
freezingly	jäiselt, jäätavalt
freezing mixture	külmutussegu
freezing point	külmumispunkt
freezing weather	jääkülm ilm
freezing wind	jäine tuul
free zone	vabakaubandustsoon
F region	-, ionosfääri ülemine kiht
freight	last, praht, vedu, veokulu ; lastima, kaupa vedama
freightage	vedu, veokulu
freight car	kaubavagun
freight elevator	kaubalift
freighter	kaubalaev, transpordilennuk, prahtija
freighting	prahtimine
freightless	lastimata
freightliner	kiirkaubarong
freight rate	veokulu
freight train	kaubarong
freight truck	kaubaauto
French	prantsuse keel, prantslane ; prantsuse
French Academy	Prantsuse Akadeemia
French bean	aeduba
French Canada	Prantsuse Kanada
French Canadian	Kanada prantslane
French chalk	rätsepakriit
French Congo	Prantsuse Congo
French curve	lekaal
French disease	prantsuse haigus (süüfilis)
French door	klaasuks
French dressing	prantsuse kaste (õli ja äädikaga salatikaste)
French Equatorial Africa	Prantsuse Ekvatoriaal-Aafrika
French Foreign Legion	Prantsuse Võõrleegion
French fried potatoes	friikartulid
French fries	friikartulid
French Guiana	Prantsuse Guajaana
French heel	tikk-konts
French horn	metsasarv
Frenchify	prantsuspärastama
French Indochina	Prantsuse Indohiina
French kiss	keelesuudlus
French leave	loata puudumine
French letter	kondoom
